Butikk;Longitude;Latitude;Forvalt.visitorAddress.addressLine;Forvalt.visitorAddress.postPlace;Forvalt.visitorAddress.zipCode;Kjøpesenter
CUBUS SURNA AVD 85C;8,71218104;62,96972852;Øravegen 4;Surnadal;6650;
KANEBOGEN GULL OG UR AS AVD GULLFUNN FINNSNES;17,98211566;69,22933474;Storgata 17;Finnsnes;9300;AMFI Kanebogen
FELLESKJØPET AGRI SA REGION 5 AVD 3005 FLORØ;5,04656833;61,60306057;Fjordgata 15;Florø;6900;
BUNNPRIS AVD LESJASKOG;8,35299805;62,23309936;Strandvegen 181;Lesjaskog;2668;
MASKE AS AVD SANDANE;6,21430645;61,77896317;Nordstrandsvegen 17;Sandane;6823;
MASKE AS AVD SANDEFJORD;10,18125107;59,14032882;Pindsleveien 8B;Sandefjord;3221;
LARSSEN SKO AS MANI NESTTUN;5,35422888;60,31746345;Østre Nesttunvegen 16;Nesttun;5221;AMFI Nesttun
MALMBERG ELEKTRISKE AS AVD BERGEN;5,34278884;60,36589176;Minde allé 35;Bergen;5068;
MØBELRINGEN HORTEN;10,46200988;59,40132575;Trimveien 41A;Horten;3188;
SONEPAR NORGE AS AVD MOSS;10,70196372;59,44264461;Solgaard skog 11;Moss;1599;
COOP FINNMARK SA AVD SPORT 1 VADSØ;29,75163394;70,07258952;Strandgata 15;Vadsø;9800;
COOP VIKESÅ SA AVD PRIX;6,072941235;58,58368434;Røyslandsvegen 135;Bjerkreim;4387;
COOP MIDT NORGE SA AVD 74 DIN VERDEN;11,4910813;64,46760372;Verftsgata 4;Namsos;7800;Namsos Storsenter
AHLSELL NORGE AS AVD BS MO I RANA;14,14877986;66,31756484;Søderlundmyra 42;Mo i Rana;8622;
FLÜGGER FARVE STAVANGER;5,72978122;58,88981704;Bjødnabeen 16;Stavanger;4031;
BIK BOK ARKEN AVD 64 D;5,32441949;60,46568423;Åsane Senter 41/43;Ulset;5116;
COOP ADMINISTRASJON TRYSIL;12,26125241;61,31541416;Storvegen 2;Trysil;2420;
HAMAR FOTHELSESENTER;11,07754218;60,79189624;Torggata 1;Hamar;2317;
VERO MODA SANDEFJORD - HVALTORGET 88867;10,22621076;59,1301973;Torget 7;Sandefjord;3210;Hvaltorvet Kjøpesenter
TORLEIF STEIRO AS MESTERGULL;15,41588865;68,69401433;Strandgata 26;Sortland;8400;
COOP NORDVEST SA (1548) COOP MARKED KVAMSØY;5,418468975;62,19749633;Hamna 11;Kvamsøy;6087;
COOP OPPDAL SA 47 GULL OG SØLV STØREN;10,28322982;63,0479823;Stasjonsveien 7;Støren;7290;
SONEPAR NORGE AS AVD KRISTIANSUND N;7,74196386;63,12138415;Wilhelm Dalls vei 50;Kristiansund N;6511;
MEKO NORWAY AS AVD STEINKJER;11,48612749;64,02337103;Verksvegen 1A;Steinkjer;7725;
K HAGEN AS AVD LØVENVOLDGATE;6,15708825;62,47299217;Løvenvoldgata 1;Ålesund;6002;
COOP MIDT NORGE SA AVD 145 COOP MARKED SJØÅSEN;11,22131331;64,30850064;Lauvsnesvegen 5;Namdalseid;7750;
COOP PRIX LØKEBERG 1133;10,5622412;59,90937281;Kirkeveien 56;Høvik;1363;
SONEPAR NORGE AS AVD STAVANGER;5,72653016;58,94249865;Auglendsmyrå 6;Stavanger;4016;
COOP ELEKTRO RINGEBU;10,13998476;61,53043417;Hanstadgata 5;Ringebu;2630;
COOP HAMMERFEST SA AVD 026 COOP PRIX HAMMERFEST;23,66685544;70,67331758;Tromsveien 17;Hammerfest;9601;
BERGOM KLÆR - SKO - SPORT;8,56869434;61,8372732;Sognefjellsvegen 2;Lom;2686;
FELLESKJØPET ÅFJORD 1540 BUTIKK;10,22542297;63,95836348;Austdalsveien 6;Åfjord;7170;
BYGGMAX TØNSBERG;10,33825315;59,28683046;Semsbyveien 118;Sem;3170;
MUSTI STRØMSØ SENTER;10,20669783;59,7344756;Bjørnstjerne Bjørnsons gate 60;Drammen;3044;
CHANGE OF SCANDINAVIA MOSS;10,70323988;59,4462476;Patterødveien 2;Moss;1599;Mosseporten Senter
NILLE EIKLI HØNEFOSS;10,25527336;60,15292938;Dronning Åstas gate 4;Hønefoss;3511;
FLYING TIGER COPENHAGEN STORO;10,775387;59,9468424;Vitaminveien 7;Oslo;0485;Storo Storsenter
MATCH EIDSVOLL AVD 279;11,17419776;60,28111772;Gladbakkvegen 1;Råholt;2070;
JERNIA CITY NORD;14,42265404;67,27764958;Stormyrveien 20;Bodø;8008;City Nord
CUBUS ÅLGÅRD AVD 933;5,84960481;58,76782648;Ole Nielsens vei 13;Ålgård;4330;
CUBUS VERDAL AVD 888;11,48524938;63,79185223;c/o Amfisenteret Jernbanegata 11;Verdal;7650;AMFI Verdal
JYSK TYNSET AVD 517;10,77713047;62,2755988;Brugata 1;Tynset;2500;
BRILLELAND AVD 450 BUSKERUD STORSENTER;9,99915888;59,75614519;Sandsgata 20;Krokstadelva;3055;Buskerud Storsenter
ZAVANNA MAXI STORSENTER AVD 564;11,04671992;60,79870127;Aslak Bolts gate 48;Hamar;2316;Maxi Storsenter
MUSTI BRAKERØYA;10,22175377;59,74097278;Brandtenborggata 1;Drammen;3012;CC Drammen
LINDEX AS AVD AMFI VALDRES;9,28953626;60,97111797;Markavegen 2-16;Leira i Valdres;2920;
VILA AMFI MOA 363210;6,35153421;62,46481726;Langelandsvegen 25;Ålesund;6010;
LØVENSKIOLD HANDEL AS AVD 334 MAXBO KRAGERØ;9,4164394;58,8697064;Ytre Strandvei 16;Kragerø;3770;
